Elapsed Time,ECG1,ECG2,ECG3,BioRadio Event,
00:00:00,-1.41380514833145E-05,-1.41147756949067E-05,3.25868825257203E-08,0,
00:00:00.0005,-0.000124973914353177,-0.000124768150271848,2.88053115582443E-07,0,
00:00:00.001,-0.000557153020054102,-0.000556231127120554,1.2841854868384E-06,0,
00:00:00.0015,-0.00171006796881557,-0.00170721614267677,3.93689106203965E-06,0,
00:00:00.002,-0.00414094375446439,-0.00413398863747716,9.5033474281081E-06,0,
00:00:00.0025,-0.00853404495865107,-0.00851965602487326,1.94868225662503E-05,0,
00:00:00.003,-0.0156724732369184,-0.0156460534781218,3.55563643097412E-05,0,
00:00:00.0035,-0.0264124535024166,-0.0263680890202522,5.94753109908197E-05,0,
00:00:00.004,-0.0416600257158279,-0.0415904894471169,9.30288224481046E-05,0,
00:00:00.0045,-0.0623499825596809,-0.0622467808425426,0.000137955998070538,0,
00:00:00.005,-0.0894269943237305,-0.0892804563045502,0.000195900749531575,0,
00:00:00.0055,-0.123828709125519,-0.123628064990044,0.000268397765466943,0,
00:00:00.006,-0.166470780968666,-0.166204243898392,0.000356884062057361,0,
00:00:00.0065,-0.218233719468117,-0.217888534069061,0.000462708994746208,0,
00:00:00.007,-0.279951453208923,-0.279513984918594,0.000587142538279295,0,
00:00:00.0075,-0.352401524782181,-0.351857244968414,0.00073138705920428,0,
00:00:00.008,-0.436296820640564,-0.43563038110733,0.000896573241334409,0,
00:00:00.0085,-0.532278716564178,-0.531473934650421,0.00108372385147959,0,
00:00:00.009,-0.64091157913208,-0.639951527118683,0.00129369948990643,0,
00:00:00.0095,-0.762678146362305,-0.761545479297638,0.00152716843876988,0,
00:00:00.01,-0.897976577281952,-0.896653413772583,0.00178461382165551,0,
00:00:00.0105,-1.04711771011353,-1.0455858707428,0.00206635612994432,0,
00:00:00.011,-1.21032416820526,-1.20856535434723,0.00237258314155042,0,
00:00:00.0115,-1.38772988319397,-1.38572549819946,0.00270338892005384,0,
00:00:00.012,-1.57938075065613,-1.57711243629456,0.0030587965156883,0,
00:00:00.0125,-1.78523576259613,-1.78268468379974,0.00343874213285744,0,
00:00:00.013,-2.00516819953918,-2.00231623649597,0.00384305557236075,0,
00:00:00.0135,-2.23896908760071,-2.23579788208008,0.00427144719287753,0,
00:00:00.014,-2.4863486289978,-2.4828405380249,0.00472348975017667,0,
00:00:00.0145,-2.74694132804871,-2.74307894706726,0.0051985951140523,0,
00:00:00.015,-3.02030849456787,-3.01607513427734,0.00569600099697709,0,
00:00:00.0155,-3.30594277381897,-3.30132269859314,0.00621476117521524,0,
00:00:00.016,-3.60327291488647,-3.59825134277344,0.00675373943522573,0,
00:00:00.0165,-3.9116678237915,-3.90623092651367,0.00731163611635566,0,
00:00:00.017,-4.23044204711914,-4.2245774269104,0.00788704957813025,0,
00:00:00.0175,-4.55886125564575,-4.55255794525146,0.00847853068262339,0,
00:00:00.018,-4.89614629745483,-4.88939332962036,0.00908458698540926,0,
00:00:00.0185,-5.24147796630859,-5.23426723480225,0.00970364268869162,0,
00:00:00.019,-5.59400510787964,-5.58632898330688,0.0103339739143848,0,
00:00:00.0195,-5.95284605026245,-5.94469833374023,0.0109736155718565,0,
00:00:00.02,-6.31709575653076,-6.30847263336182,0.0116202589124441,0,
00:00:00.0205,-6.68583154678345,-6.67673063278198,0.0122711798176169,0,
00:00:00.021,-7.05811548233032,-7.04853820800781,0.0129232658073306,0,
00:00:00.0215,-7.43300247192383,-7.42295217514038,0.0135730877518654,0,
00:00:00.022,-7.80954265594482,-7.79902648925781,0.0142169734463096,0,
00:00:00.0225,-8.18678665161133,-8.17581558227539,0.0148510346189141,0,
00:00:00.023,-8.56379127502441,-8.55237865447998,0.0154712023213506,0,
00:00:00.0235,-8.93962097167969,-8.92778491973877,0.0160732921212912,0,
00:00:00.024,-9.31335544586182,-9.30111694335938,0.0166531000286341,0,
00:00:00.0245,-9.68408966064453,-9.67147541046143,0.0172065012156963,0,
00:00:00.025,-10.0509433746338,-10.0379800796509,0.0177295468747616,0,
00:00:00.0255,-10.4130563735962,-10.3997774124146,0.0182185620069504,0,
00:00:00.026,-10.7695989608765,-10.7560386657715,0.0186702106148005,0,
00:00:00.0265,-11.1197719573975,-11.1059665679932,0.0190815199166536,0,
00:00:00.027,-11.4628076553345,-11.4487981796265,0.0194498803466558,0,
00:00:00.0275,-11.7979764938354,-11.7838020324707,0.0197730157524347,0,
00:00:00.028,-12.1245832443237,-12.1102876663208,0.0200489349663258,0,
00:00:00.0285,-12.4419736862183,-12.42760181427,0.0202758647501469,0,
00:00:00.029,-12.7495374679565,-12.7351331710815,0.0204522162675858,0,
00:00:00.0295,-13.0467023849487,-13.0323123931885,0.0205766037106514,0,
00:00:00.03,-13.3329420089722,-13.3186130523682,0.020647881552577,0,
00:00:00.0305,-13.6077737808228,-13.5935544967651,0.020665230229497,0,
00:00:00.031,-13.8707599639893,-13.8566980361938,0.0206282641738653,0,
00:00:00.0315,-14.1215105056763,-14.1076526641846,0.0205371771007776,0,
00:00:00.032,-14.3596782684326,-14.3460712432861,0.0203928202390671,0,
00:00:00.0325,-14.5849628448486,-14.5716514587402,0.0201967675238848,0,
00:00:00.033,-14.7971096038818,-14.7841377258301,0.0199513416737318,0,
00:00:00.0335,-14.9959096908569,-14.9833154678345,0.0196596495807171,0,
00:00:00.034,-15.1811981201172,-15.1690168380737,0.0193255748599768,0,
00:00:00.0345,-15.3528528213501,-15.3411159515381,0.0189538262784481,0,
