Elapsed Time,BICEP,BioRadio Event,
00:00:00,10.1429243087769,0,
00:00:00.0005,7.66559410095215,0,
00:00:00.001,5.50548076629639,0,
00:00:00.0015,3.62220120429993,0,
00:00:00.002,1.99039924144745,0,
00:00:00.0025,0.601824283599854,0,
00:00:00.003,-0.558782935142517,0,
00:00:00.0035,-1.51716768741608,0,
00:00:00.004,-2.29679727554321,0,
00:00:00.0045,-2.91902995109558,0,
00:00:00.005,-3.40327167510986,0,
00:00:00.0055,-3.74183082580566,0,
00:00:00.006,-3.97710561752319,0,
00:00:00.0065,-4.11890029907227,0,
00:00:00.007,-4.14639520645142,0,
00:00:00.0075,-4.08134937286377,0,
00:00:00.008,-3.93794631958008,0,
00:00:00.0085,-3.73435378074646,0,
00:00:00.009,-3.48645091056824,0,
00:00:00.0095,-3.19789981842041,0,
00:00:00.01,-2.86787223815918,0,
00:00:00.0105,-2.50733017921448,0,
00:00:00.011,-2.1311891078949,0,
00:00:00.0115,-1.73688864707947,0,
00:00:00.012,-1.34880793094635,0,
00:00:00.0125,-0.97129487991333,0,
00:00:00.013,-0.608111619949341,0,
00:00:00.0135,-0.262463122606277,0,
00:00:00.014,0.0629723444581032,0,
00:00:00.0145,0.366012960672379,0,
00:00:00.015,0.650000751018524,0,
00:00:00.0155,0.907347977161407,0,
00:00:00.016,1.13227009773254,0,
00:00:00.0165,1.33576321601868,0,
00:00:00.017,1.52144479751587,0,
00:00:00.0175,1.6769745349884,0,
00:00:00.018,1.79813897609711,0,
00:00:00.0185,1.89230108261108,0,
00:00:00.019,1.95548987388611,0,
00:00:00.0195,2.00538444519043,0,
00:00:00.02,2.02050256729126,0,
00:00:00.0205,2.01513814926147,0,
00:00:00.021,1.98062765598297,0,
00:00:00.0215,1.92099893093109,0,
00:00:00.022,1.85520470142365,0,
00:00:00.0225,1.75774073600769,0,
00:00:00.023,1.63484692573547,0,
00:00:00.0235,1.51240968704224,0,
00:00:00.024,1.40065622329712,0,
00:00:00.0245,1.30235493183136,0,
00:00:00.025,1.18400228023529,0,
00:00:00.0255,1.06053936481476,0,
00:00:00.026,0.9439337849617,0,
00:00:00.0265,0.833395779132843,0,
00:00:00.027,0.738416731357574,0,
00:00:00.0275,0.635785043239594,0,
00:00:00.028,0.558291733264923,0,
00:00:00.0285,0.480432987213135,0,
00:00:00.029,0.392513543367386,0,
00:00:00.0295,0.30252930521965,0,
00:00:00.03,0.206812977790833,0,
00:00:00.0305,0.117987431585789,0,
00:00:00.031,0.0307216309010983,0,
00:00:00.0315,-0.0489131547510624,0,
00:00:00.032,-0.126334697008133,0,
00:00:00.0325,-0.200622707605362,0,
00:00:00.033,-0.270986199378967,0,
00:00:00.0335,-0.331699460744858,0,
00:00:00.034,-0.393577009439468,0,
00:00:00.0345,-0.434545546770096,0,
00:00:00.035,-0.483316361904144,0,
00:00:00.0355,-0.526591956615448,0,
00:00:00.036,-0.569179952144623,0,
00:00:00.0365,-0.599559962749481,0,
00:00:00.037,-0.624121606349945,0,
00:00:00.0375,-0.65297919511795,0,
00:00:00.038,-0.688768565654755,0,
00:00:00.0385,-0.713019907474518,0,
00:00:00.039,-0.731735944747925,0,
00:00:00.0395,-0.764842331409454,0,
00:00:00.04,-0.792013227939606,0,
00:00:00.0405,-0.787291705608368,0,
00:00:00.041,-0.766581177711487,0,
00:00:00.0415,-0.7427117228508,0,
00:00:00.042,-0.705550670623779,0,
